Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Publisher,Document Type,Source,clean_title,clean_doi,ex_VRP,ex_Human,ex_Heur,VRP_Subtopic,Human_Subtopic,Heur_Subtopic
"Arishi, A.; Ahuja, P.","Arishi, Ali (57893030300); Ahuja, Paras (59970707700)",57893030300; 59970707700,Multi-Agent Reinforcement Learning for truck–drone routing in smart logistics: A comprehensive review,2025,Computers and Electrical Engineering,127,,110529,,,3,10.1016/j.compeleceng.2025.110529,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009512652&doi=10.1016%2Fj.compeleceng.2025.110529&partnerID=40&md5=edbd556eecea70c234d851c329ef6588,"Department of Industrial Engineering, King Khalid University, Abha, Asir, Saudi Arabia; Department of Computer Science and Engineering, University Institute of Engineering and Technology, Chandigarh, India","Arishi, Ali, Department of Industrial Engineering, King Khalid University, Abha, Asir, Saudi Arabia; Ahuja, Paras, Department of Computer Science and Engineering, University Institute of Engineering and Technology, Chandigarh, India",Decentralized decision-making; Energy-efficient routing; Hybrid learning architectures; Last-mile delivery; Multi-Agent Reinforcement Learning; Regulatory compliance; Smart logistics; Traffic-aware routing; Truck–drone logistics,Elsevier Ltd,Article,Scopus,multiagent reinforcement learning for truckdrone routing in smart logistics a comprehensive review,10.1016/j.compeleceng.2025.110529,True,True,True,VRP T1,Human T3,Heur T1
"Rodrigues, G.D.A.; Junqueira, L.; Vieira, J.G.V.; Silva Júnior, O.S.d.; da Cunha, C.B.D.","Rodrigues, Gustavo De Abreu (58632141300); Junqueira, Leonardo (36183978000); Vieira, José Geraldo Vidal (59926615000); Silva Júnior, Orivalde Soares Da (51665994000); da Cunha, Claudio Barbieri (56963654600)",58632141300; 36183978000; 59926615000; 51665994000; 56963654600,Rural last-mile distribution using a hybrid heuristic-multi-criteria decision-making framework,2025,Expert Systems with Applications,289,,128331,,,0,10.1016/j.eswa.2025.128331,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007148743&doi=10.1016%2Fj.eswa.2025.128331&partnerID=40&md5=a23afea2cdbbb0808d0cf83918d65726,"Department of Production Engineering, Universidade de São Paulo, Sao Paulo, SP, Brazil; Universidade Federal de São Carlos, Sao Carlos, SP, Brazil; Instituto Militar de Engenharia, Rio de Janeiro, RJ, Brazil; Department of Transportation Engineering, Universidade de São Paulo, Sao Paulo, SP, Brazil","Rodrigues, Gustavo De Abreu, Department of Production Engineering, Universidade de São Paulo, Sao Paulo, SP, Brazil; Junqueira, Leonardo, Department of Production Engineering, Universidade de São Paulo, Sao Paulo, SP, Brazil; Vieira, José Geraldo Vidal, Universidade Federal de São Carlos, Sao Carlos, SP, Brazil; Silva Júnior, Orivalde Soares Da, Instituto Militar de Engenharia, Rio de Janeiro, RJ, Brazil; da Cunha, Claudio Barbieri, Department of Transportation Engineering, Universidade de São Paulo, Sao Paulo, SP, Brazil",Heuristics; Multi-criteria decision-making; Rich routing problems; Rural last-mile,Elsevier Ltd,Article,Scopus,rural lastmile distribution using a hybrid heuristicmulticriteria decisionmaking framework,10.1016/j.eswa.2025.128331,True,True,True,VRP T1,Human T3,Heur T1
"Rudy, J.; Idzikowski, R.","Rudy, Jarosław (56564996500); Idzikowski, Radoslaw (57194723618)",56564996500; 57194723618,Multi-criteria Vehicle Routing Problem for Maintenance in Manufacturing Systems,2025,IFAC-PapersOnLine,59,24,,275,280,0,10.1016/j.ifacol.2025.11.877,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025688203&doi=10.1016%2Fj.ifacol.2025.11.877&partnerID=40&md5=23eb1c1a05be7e1faa94f161c1225a46,"Department of Control Systems, University of Wrocław, Wroclaw, Lower Silesian, Poland","Rudy, Jarosław, Department of Control Systems, University of Wrocław, Wroclaw, Lower Silesian, Poland; Idzikowski, Radoslaw, Department of Control Systems, University of Wrocław, Wroclaw, Lower Silesian, Poland",delivery; intermodal transport; metaheuristics; multi-criteria; optimization; pickup; time windows; vehicle routing,Elsevier B.V.,Conference paper,Scopus,multicriteria vehicle routing problem for maintenance in manufacturing systems,10.1016/j.ifacol.2025.11.877,True,True,True,VRP T2,Human T2,Heur T1
"Abdulatif, N.; Shalaby, M.A.W.; Kassem, S.S.; Khalil, T.","Abdulatif, Nour (59940831600); Shalaby, Mohamed A.Wahby (59624309500); Kassem, Sally S. (56960108100); Khalil, Tarek M. (7005286039)",59940831600; 59624309500; 56960108100; 7005286039,"Correction to: Fuzzy demand electric vehicle routing problem with soft time windows (Fuzzy Optimization and Decision Making, (2025), 24, 3, (457-481), 10.1007/s10700-025-09453-1)",2025,Fuzzy Optimization and Decision Making,24,3,,483,484,0,10.1007/s10700-025-09459-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016010740&doi=10.1007%2Fs10700-025-09459-9&partnerID=40&md5=f1a7944b2da40e7162f7272891a28132,"Graduate School of Management of Technology, El Sheikh Zayed, Giza, Egypt; Nile University, El Sheikh Zayed, Giza, Egypt; Faculty of Computers and Artificial Intelligence, Giza, Giza, Egypt","Abdulatif, Nour, Graduate School of Management of Technology, El Sheikh Zayed, Giza, Egypt; Shalaby, Mohamed A.Wahby, Nile University, El Sheikh Zayed, Giza, Egypt, Faculty of Computers and Artificial Intelligence, Giza, Giza, Egypt; Kassem, Sally S., Faculty of Computers and Artificial Intelligence, Giza, Giza, Egypt; Khalil, Tarek M., Graduate School of Management of Technology, El Sheikh Zayed, Giza, Egypt",,Springer,Erratum,Scopus,correction to fuzzy demand electric vehicle routing problem with soft time windows fuzzy optimization and decision making 2025 24 3 457481 101007s10700025094531,10.1007/s10700-025-09459-9,True,True,True,None,None,None
"Sun, B.; Zhou, Y.; Meng, Q.","Sun, Bo (57216314460); Zhou, Yu (58109283700); Meng, Qiang (7202535468)",57216314460; 58109283700; 7202535468,Modular electric units for first-and-last-mile reservation services considering uncertainty,2025,Transportation Research Part C: Emerging Technologies,175,,105127,,,5,10.1016/j.trc.2025.105127,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003249895&doi=10.1016%2Fj.trc.2025.105127&partnerID=40&md5=4d3e96736dc4ad59abdc634ac82db89f,"Department of Civil & Environmental Engineering, National University of Singapore, Singapore City, Singapore; Beihang University, Beijing, China; Beihang University, Beijing, China; State Key Lab of Intelligent Transportation System, Beihang University, Beijing, China","Sun, Bo, Department of Civil & Environmental Engineering, National University of Singapore, Singapore City, Singapore; Zhou, Yu, Beihang University, Beijing, China, Beihang University, Beijing, China, State Key Lab of Intelligent Transportation System, Beihang University, Beijing, China; Meng, Qiang, Department of Civil & Environmental Engineering, National University of Singapore, Singapore City, Singapore",First-and-last-mile reservation services; Modular electric vehicles; Multi-agent deep hierarchical reinforcement learning; Semi-Markov decision process,Elsevier Ltd,Article,Scopus,modular electric units for firstandlastmile reservation services considering uncertainty,10.1016/j.trc.2025.105127,True,True,True,VRP T1,Human T3,Heur T2
"Behura, A.; Kumar, A.; Jain, P.K.","Behura, Aradhana (57216374591); Kumar, Arun Anil (57202315390); Jain, Puneet Kumar (59797865100)",57216374591; 57202315390; 59797865100,A multi-objective approach for secure cluster based routing & attack classification in VANETs,2025,Peer-to-Peer Networking and Applications,18,3,119,,,7,10.1007/s12083-024-01895-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000044644&doi=10.1007%2Fs12083-024-01895-5&partnerID=40&md5=d81ca5858d7c252bbd6335d636e2e92b,"National Institute of Technology Rourkela, Rourkela, OR, India","Behura, Aradhana, National Institute of Technology Rourkela, Rourkela, OR, India; Kumar, Arun Anil, National Institute of Technology Rourkela, Rourkela, OR, India; Jain, Puneet Kumar, National Institute of Technology Rourkela, Rourkela, OR, India",Attack mitigation; Cluster head selection; Clustering; Fuzzy decision making; Secure routing,Springer,Article,Scopus,a multiobjective approach for secure cluster based routing  attack classification in vanets,10.1007/s12083-024-01895-5,True,True,True,VRP T1,Human T3,Heur T4
"Yan, D.; Guan, Q.; Ou, B.; Yan, B.; Zhu, Z.; Cao, H.","Yan, Dapeng (57190882205); Guan, Qingshu (57838314800); Ou, Bei (59680077400); Yan, Bowen (59893352900); Zhu, Zheng (59145370600); Cao, Hui (36707150800)",57190882205; 57838314800; 59680077400; 59893352900; 59145370600; 36707150800,A Deep Reinforcement Learning-Based Decision-Making Approach for Routing Problems,2025,Applied Sciences (Switzerland),15,9,4951,,,4,10.3390/app15094951,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004910092&doi=10.3390%2Fapp15094951&partnerID=40&md5=38c706808d3673f795cfc30509283030,"School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China; State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, Shaanxi, China","Yan, Dapeng, School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China, State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Guan, Qingshu, School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China, State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Ou, Bei, School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Yan, Bowen, School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Zhu, Zheng, School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Cao, Hui, School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China, State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, Shaanxi, China",attention mechanism; deep reinforcement learning; encoder–decoder; routing,Multidisciplinary Digital Publishing Institute (MDPI),Article,Scopus,a deep reinforcement learningbased decisionmaking approach for routing problems,10.3390/app15094951,True,True,True,VRP T2,Other,Heur T2
"Nourmohammadi, Z.; Hu, B.; Rey, D.; Saberi, M.","Nourmohammadi, Zahra (59400153300); Hu, Bohan (59257121900); Rey, David (55504438400); Saberi, Meead (55639326600)",59400153300; 59257121900; 55504438400; 55639326600,A data-driven preference learning approach for multi-objective vehicle routing problems in last-mile delivery,2025,Transportation Research Part C: Emerging Technologies,174,,105101,,,3,10.1016/j.trc.2025.105101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000677725&doi=10.1016%2Fj.trc.2025.105101&partnerID=40&md5=4ae78feff63ad099bbe4192cc3af5e33,"Research Centre for Integrated Transport Innovation, UNSW Sydney, Sydney, NSW, Australia; Université Côte d'Azur, Nice, Provence-Alpes-Cote d'Azur, France","Nourmohammadi, Zahra, Research Centre for Integrated Transport Innovation, UNSW Sydney, Sydney, NSW, Australia; Hu, Bohan, Research Centre for Integrated Transport Innovation, UNSW Sydney, Sydney, NSW, Australia; Rey, David, Université Côte d'Azur, Nice, Provence-Alpes-Cote d'Azur, France; Saberi, Meead, Research Centre for Integrated Transport Innovation, UNSW Sydney, Sydney, NSW, Australia",Data-driven optimization; Machine learning; Multi-objective vehicle routing; Preference learning,Elsevier Ltd,Article,Scopus,a datadriven preference learning approach for multiobjective vehicle routing problems in lastmile delivery,10.1016/j.trc.2025.105101,True,True,True,VRP T2,Human T2,Heur T3
"Cao, E.; Wang, X.; Yang, Y.; Ge, H.","Cao, Erbao (17433473300); Wang, Xin (58393105800); Yang, Yanbin (59505687600); Ge, Hongyu (57221470944)",17433473300; 58393105800; 59505687600; 57221470944,A HYBRID HEURISTIC ALGORITHM FOR THE FUZZY OPEN VEHICLE ROUTING PROBLEM WITH RISK PREFERENCE,2025,Journal of Industrial and Management Optimization,21,3,,1812,1831,3,10.3934/jimo.2024150,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214349642&doi=10.3934%2Fjimo.2024150&partnerID=40&md5=7e45c07a74778ecfb2d03154124f8534,"School of Economics and Trade, Hunan University, Changsha, Hunan, China; Key Laboratory of Logistics Information and Simulation Technology of Hunan Province, Changsha, Hunan, China; School of Energy and Power Engineering, Dalian University of Technology, Dalian, Liaoning, China","Cao, Erbao, School of Economics and Trade, Hunan University, Changsha, Hunan, China, Key Laboratory of Logistics Information and Simulation Technology of Hunan Province, Changsha, Hunan, China; Wang, Xin, School of Economics and Trade, Hunan University, Changsha, Hunan, China, Key Laboratory of Logistics Information and Simulation Technology of Hunan Province, Changsha, Hunan, China; Yang, Yanbin, School of Economics and Trade, Hunan University, Changsha, Hunan, China, Key Laboratory of Logistics Information and Simulation Technology of Hunan Province, Changsha, Hunan, China; Ge, Hongyu, School of Energy and Power Engineering, Dalian University of Technology, Dalian, Liaoning, China",fuzzy sets; hybrid heuristic algorithm; Open vehicle routing problem; risk preference,American Institute of Mathematical Sciences,Article,Scopus,a hybrid heuristic algorithm for the fuzzy open vehicle routing problem with risk preference,10.3934/jimo.2024150,True,True,True,VRP T2,Human T2,Heur T4
"Sharma, H.; Galván-López, E.; Mooney, P.","Sharma, Harish (59502771000); Galván-López, Edgar (15042060700); Mooney, Peter (23398047400)",59502771000; 15042060700; 23398047400,A parallel genetic algorithm for multi-criteria path routing on complex real-world road networks,2025,Applied Soft Computing,170,,112559,,,8,10.1016/j.asoc.2024.112559,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214313822&doi=10.1016%2Fj.asoc.2024.112559&partnerID=40&md5=d687f7575e8bdb6e736e62716293c424,"Department of Computer Science, Maynooth University, Maynooth, Kildare, Ireland; Department of Computer Science, Maynooth University, Maynooth, Kildare, Ireland","Sharma, Harish, Department of Computer Science, Maynooth University, Maynooth, Kildare, Ireland; Galván-López, Edgar, Department of Computer Science, Maynooth University, Maynooth, Kildare, Ireland; Mooney, Peter, Department of Computer Science, Maynooth University, Maynooth, Kildare, Ireland",Hybrid model; Improved crowding distance (ICD); Non-dominated sorting genetic algorithm (NSGA) II and III; Parallel genetic algorithm (PGA); Pareto-optimal solutions; Vehicle routing problem (VRP),Elsevier Ltd,Article,Scopus,a parallel genetic algorithm for multicriteria path routing on complex realworld road networks,10.1016/j.asoc.2024.112559,True,True,True,VRP T2,Other,Heur T1
"Bideq, H.; Ouaddi, K.; Ellaia, R.","Bideq, Hajar (57826662100); Ouaddi, Khaoula (57192234452); Ellaia, Rachid (55935818600)",57826662100; 57192234452; 55935818600,A Hybrid Memetic and Set Partitioning Optimization Framework for Decision Support in Industrial Transportation: A Case Study of Employee Shuttle Routing,2025,Journal Europeen des Systemes Automatises,58,2,,191,203,0,10.18280/jesa.580201,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001497050&doi=10.18280%2Fjesa.580201&partnerID=40&md5=6c52c02a3d528a19bdd37585e384ea54,"Ecole Mohammadia d'Ingenieurs, Mohammed V University in Rabat, Rabat, Morocco; Center for Doctoral Studies in Information Technology and Engineering Sciences, Mohammed V University in Rabat, Rabat, Morocco","Bideq, Hajar, Ecole Mohammadia d'Ingenieurs, Mohammed V University in Rabat, Rabat, Morocco; Ouaddi, Khaoula, Center for Doctoral Studies in Information Technology and Engineering Sciences, Mohammed V University in Rabat, Rabat, Morocco; Ellaia, Rachid, Ecole Mohammadia d'Ingenieurs, Mohammed V University in Rabat, Rabat, Morocco",employee bus routing problem; matheuristic; Memetic Algorithm (MA); mixed loads; set partitioning,International Information and Engineering Technology Association,Article,Scopus,a hybrid memetic and set partitioning optimization framework for decision support in industrial transportation a case study of employee shuttle routing,10.18280/jesa.580201,True,True,True,VRP T1,Other,Heur T1
"Li, D.; Pachamanova, D.; Siricharoensang, P.","Li, Dong (55746510400); Pachamanova, Dessislava A. (6507593616); Siricharoensang, Phattharanan (59649261600)",55746510400; 6507593616; 59649261600,"Prescriptive Analytics for Entrepreneurial Growth: Data-Driven Strategic Decision Making at iParty Bangkok Co., Ltd.",2025,INFORMS Transactions on Education,25,2,,169,174,0,10.1287/ited.2023.0028ca,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218783618&doi=10.1287%2Fited.2023.0028ca&partnerID=40&md5=eaa7a6b52a1fb7c131c1b334ad81ca60,"Mathematics, Babson College, Babson Park, MA, United States; Ltd., Bangkok, Bangkok, Thailand","Li, Dong, Mathematics, Babson College, Babson Park, MA, United States; Pachamanova, Dessislava A., Mathematics, Babson College, Babson Park, MA, United States; Siricharoensang, Phattharanan, Ltd., Bangkok, Bangkok, Thailand",entrepreneurship; heuristics; prescriptive analytics; problem framing; surrogate experiential learning; vehicle routing problem,INFORMS Inst.for Operations Res.and the Management Sciences,Article,Scopus,prescriptive analytics for entrepreneurial growth datadriven strategic decision making at iparty bangkok co ltd,10.1287/ited.2023.0028ca,True,True,True,VRP T1,Other,Heur T1
"Baizal, Z.K.; Soni Fajar Surya, S.F.S.; Nurtantyana, R.; Hendrawan, R.","Baizal, Z. K.A. (55597309600); Soni Fajar Surya, G. (56502411400); Nurtantyana, Rio (57383807300); Hendrawan, Rahmat (57219652677)",55597309600; 56502411400; 57383807300; 57219652677,KomoTrip: a multi-day travel itinerary recommendation method based on the discrete komodo mlipir algorithm,2025,PeerJ Computer Science,11,,e3350,,,0,10.7717/peerj-cs.3350,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024854770&doi=10.7717%2Fpeerj-cs.3350&partnerID=40&md5=844826c48908f89c3bbc22b9648cc07b,"Telkom University, Bandung, West Java, Indonesia; School of Industrial Engineering, Telkom University, Bandung, West Java, Indonesia; Badan Riset dan Inovasi Nasional, Central Jakarta, Jakarta, Indonesia; Telkom Indonesia, Jakarta, Indonesia","Baizal, Z. K.A., Telkom University, Bandung, West Java, Indonesia; Soni Fajar Surya, G., School of Industrial Engineering, Telkom University, Bandung, West Java, Indonesia; Nurtantyana, Rio, Badan Riset dan Inovasi Nasional, Central Jakarta, Jakarta, Indonesia; Hendrawan, Rahmat, Telkom Indonesia, Jakarta, Indonesia",Algorithms and Analysis of Algorithms; Artificial Intelligence; Autonomous Systems; Data Science; Multi-attribute utility theory; Multi-day routes recommender system; Optimization Theory and Computation; Team orienteering problem with time windows; Weighted multi-attribute user preference,PeerJ Inc.,Article,Scopus,komotrip a multiday travel itinerary recommendation method based on the discrete komodo mlipir algorithm,10.7717/peerj-cs.3350,True,True,True,VRP T1,Human T2,Heur T1
"Wu, Z.; Hu, X.; Xu, L.; Zhao, J.; Li, Y.","Wu, Zhening (57761725300); Hu, Xiaojian (55615826800); Xu, Liangcheng (57761725200); Zhao, Ju (35241528800); Li, Yang (59070334600)",57761725300; 55615826800; 57761725200; 35241528800; 59070334600,A Two-stage Model for Graph Neural Network-based Demand Forecasting and Vehicle Route Optimization in Chain Stores Delivery Planning,2025,International Journal of Information Technology and Decision Making,,,,,,0,10.1142/S0219622026500173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024101533&doi=10.1142%2FS0219622026500173&partnerID=40&md5=e7502f4c5a4d4f7db7ae0a58c9b8d76c,"School of Management, Hefei University of Technology, Hefei, Anhui, China; Decision-Making, Hefei University of Technology, Hefei, Anhui, China","Wu, Zhening, School of Management, Hefei University of Technology, Hefei, Anhui, China; Hu, Xiaojian, Decision-Making, Hefei University of Technology, Hefei, Anhui, China; Xu, Liangcheng, School of Management, Hefei University of Technology, Hefei, Anhui, China; Zhao, Ju, Decision-Making, Hefei University of Technology, Hefei, Anhui, China; Li, Yang, Decision-Making, Hefei University of Technology, Hefei, Anhui, China",data-driven decision making; Demand forecasting; graph neural network; sparrow search algorithm; vehicle route problem,World Scientific,Article,Scopus,a twostage model for graph neural networkbased demand forecasting and vehicle route optimization in chain stores delivery planning,10.1142/s0219622026500173,True,True,True,VRP T1,Human T3,Heur T3
"Ding, H.-W.; Chen, Z.-S.; Yang, Y.; Ding, W.","Ding, Hongwei (57219420422); Chen, Zhen Song (56147283200); Yang, Yi (56674977000); Ding, Weiping (57193448087)",57219420422; 56147283200; 56674977000; 57193448087,Modeling Contexts in Trade-off Total Cost and Customer Satisfaction VRP via Large Language Models,2025,IEEE Transactions on Fuzzy Systems,,,,,,0,10.1109/TFUZZ.2025.3621215,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019613750&doi=10.1109%2FTFUZZ.2025.3621215&partnerID=40&md5=0009b5f62bcabd18d90125c1a9764ae5,"School of Civil Engineering, Wuhan University, Wuhan, Hubei, China; Faculty of Business, City University of Macau, Taipa, Macao; Hunan University of Technology and Business, Changsha, Hunan, China; School of Artificial Intelligence and Computer Science, Nantong University, Nantong, Jiangsu, China","Ding, Hongwei, School of Civil Engineering, Wuhan University, Wuhan, Hubei, China; Chen, Zhen Song, School of Civil Engineering, Wuhan University, Wuhan, Hubei, China, Faculty of Business, City University of Macau, Taipa, Macao; Yang, Yi, Hunan University of Technology and Business, Changsha, Hunan, China; Ding, Weiping, School of Artificial Intelligence and Computer Science, Nantong University, Nantong, Jiangsu, China",Bi-objective optimization; Decision-making; Fuzzy proposition; Large language model; Modeling contexts,Institute of Electrical and Electronics Engineers Inc.,Article,Scopus,modeling contexts in tradeoff total cost and customer satisfaction vrp via large language models,10.1109/tfuzz.2025.3621215,True,True,True,Other,Human T3,Heur T4
"Ghiani, G.; Manni, E.; Zacchino, S.","Ghiani, Gianpaolo (6601964221); Manni, Emanuele (24344475700); Zacchino, Sandro (60060014800)",6601964221; 24344475700; 60060014800,Improving Adaptability in Optimization-Based Decision Support Systems Through Large Language Models,2025,IEEE Access,13,,,149777,149788,0,10.1109/ACCESS.2025.3601518,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013990910&doi=10.1109%2FACCESS.2025.3601518&partnerID=40&md5=860a69c3bb0240e6ad1ab1c0aec6d77a,"Dipartimento di Ingegneria dell'Innovazione, Università del Salento, Lecce, LE, Italy","Ghiani, Gianpaolo, Dipartimento di Ingegneria dell'Innovazione, Università del Salento, Lecce, LE, Italy; Manni, Emanuele, Dipartimento di Ingegneria dell'Innovazione, Università del Salento, Lecce, LE, Italy; Zacchino, Sandro, Dipartimento di Ingegneria dell'Innovazione, Università del Salento, Lecce, LE, Italy",Decision support systems; large language models; optimization; vehicle routing,Institute of Electrical and Electronics Engineers Inc.,Article,Scopus,improving adaptability in optimizationbased decision support systems through large language models,10.1109/access.2025.3601518,True,True,True,VRP T2,Human T1,Heur T1
"Molavi, N.; Zhang, Y.; Alvarado-Vargas, M.J.","Molavi, Nima (60055894100); Zhang, Yue (60055894200); Alvarado-Vargas, Marcelo J. (57041340600)",60055894100; 60055894200; 57041340600,"Logistics system design for hybrid commercial drones with integrated economic, social, and environmental cost considerations",2025,Transportmetrica A: Transport Science,,,,,,0,10.1080/23249935.2025.2547758,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013803553&doi=10.1080%2F23249935.2025.2547758&partnerID=40&md5=487abf663b0fe250ab16cf13aa8391f2,"School of Cyber and Decision Sciences, California State University, San Bernardino, San Bernardino, CA, United States; John B. and Lillian E. Neff College of Business and Innovation, Toledo, OH, United States; John B. and Lillian E. Neff College of Business and Innovation, Toledo, OH, United States","Molavi, Nima, School of Cyber and Decision Sciences, California State University, San Bernardino, San Bernardino, CA, United States; Zhang, Yue, John B. and Lillian E. Neff College of Business and Innovation, Toledo, OH, United States; Alvarado-Vargas, Marcelo J., John B. and Lillian E. Neff College of Business and Innovation, Toledo, OH, United States",Hybrid commercial drones; location and routing problem; logistics planning; mathematical modelling; multi-criteria,Taylor and Francis Ltd.,Article,Scopus,logistics system design for hybrid commercial drones with integrated economic social and environmental cost considerations,10.1080/23249935.2025.2547758,True,True,True,VRP T4,Human T2,Heur T1
"Idzikowski, R.; Rudy, J.; Jaroszczuk, M.","Idzikowski, Radoslaw (57194723618); Rudy, Jarosław (56564996500); Jaroszczuk, Michał (59210023000)",57194723618; 56564996500; 59210023000,Multi-criteria vehicle routing problem for a real-life parcel locker-based delivery,2025,International Journal of Electronics and Telecommunications,71,3,,,,2,10.24425/ijet.2025.153624,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010564973&doi=10.24425%2Fijet.2025.153624&partnerID=40&md5=71b375111993d0ab7e1c372f09f7c620,"Department of Control Systems and Mechatronics, Politechnika Wrocławska, Wroclaw, Lower Silesian, Poland","Idzikowski, Radoslaw, Department of Control Systems and Mechatronics, Politechnika Wrocławska, Wroclaw, Lower Silesian, Poland; Rudy, Jarosław, Department of Control Systems and Mechatronics, Politechnika Wrocławska, Wroclaw, Lower Silesian, Poland; Jaroszczuk, Michał, Department of Control Systems and Mechatronics, Politechnika Wrocławska, Wroclaw, Lower Silesian, Poland",metaheuristics; multi-criteria optimization; operations research; parcel lockers; Pareto optimality; Vehicle Routing Problem,Polska Akademia Nauk,Article,Scopus,multicriteria vehicle routing problem for a reallife parcel lockerbased delivery,10.24425/ijet.2025.153624,True,True,True,VRP T2,Human T2,Heur T1
"Chen, J.-F.; Wang, L.; Sang, H.; Wu, C.-G.; Wang, J.","Chen, Jingfang (57210165481); Wang, Ling (57875807700); Sang, Hongyan (35220409500); Wu, Chuge (57188574206); Wang, Jingjing (57190290384)",57210165481; 57875807700; 35220409500; 57188574206; 57190290384,A Prior and Posterior Order Postponement Framework for the On-Demand Food Delivery Problem,2025,IEEE Transactions on Intelligent Transportation Systems,26,10,,14879,14895,1,10.1109/TITS.2025.3575482,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007915297&doi=10.1109%2FTITS.2025.3575482&partnerID=40&md5=71ac29e16d0df1b79503e2d4aa9be965,"Tsinghua University, Beijing, China; School of Computer, Liaocheng University, Liaocheng, Shandong, China; School of Automation, Beijing Institute of Technology, Beijing, China; Engineering Research Center of Digital Community, Beijing University of Technology, Beijing, China","Chen, Jingfang, Tsinghua University, Beijing, China; Wang, Ling, Tsinghua University, Beijing, China; Sang, Hongyan, School of Computer, Liaocheng University, Liaocheng, Shandong, China; Wu, Chuge, School of Automation, Beijing Institute of Technology, Beijing, China; Wang, Jingjing, Engineering Research Center of Digital Community, Beijing University of Technology, Beijing, China",data-driven optimization; dynamic vehicle routing; On-demand food delivery; order postponement; real-time decision-making,Institute of Electrical and Electronics Engineers Inc.,Article,Scopus,a prior and posterior order postponement framework for the ondemand food delivery problem,10.1109/tits.2025.3575482,True,True,True,VRP T2,Human T3,Heur T3
